"year","party","candidate_name","poll_date","weeks_left","days_left","before_convention","avg_support"
1972,"republican","Richard M. Nixon",1972-03-07,35,245,TRUE,59
1972,"republican","Richard M. Nixon",1972-04-07,31,214,TRUE,56.34058
1972,"republican","Richard M. Nixon",1972-05-01,27,190,TRUE,52.49701
1972,"republican","Richard M. Nixon",1972-05-10,26,181,TRUE,50.25888
1972,"republican","Richard M. Nixon",1972-05-29,23,162,TRUE,52.75179
1972,"republican","Richard M. Nixon",1972-06-12,21,148,TRUE,53.43283
1972,"republican","Richard M. Nixon",1972-06-19,20,141,TRUE,53.58097
1972,"republican","Richard M. Nixon",1972-07-06,18,124,TRUE,54.27803
1972,"republican","Richard M. Nixon",1972-07-17,16,113,TRUE,55.64867
1972,"republican","Richard M. Nixon",1972-07-26,15,104,TRUE,53.86614
1972,"republican","Richard M. Nixon",1972-08-03,14,96,TRUE,55.2297333333333
1972,"republican","Richard M. Nixon",1972-08-12,12,87,TRUE,56.7029066666667
1972,"republican","Richard M. Nixon",1972-08-24,11,75,FALSE,56.40391
1972,"republican","Richard M. Nixon",1972-08-27,10,72,FALSE,59.67793
1972,"republican","Richard M. Nixon",1972-09-01,10,67,FALSE,60.28228
1972,"republican","Richard M. Nixon",1972-09-12,8,56,FALSE,61.12826
1972,"republican","Richard M. Nixon",1972-09-16,7,52,FALSE,61.63593
1972,"republican","Richard M. Nixon",1972-09-21,7,47,FALSE,61.41904
1972,"republican","Richard M. Nixon",1972-09-25,6,43,FALSE,61.452385
1972,"republican","Richard M. Nixon",1972-10-05,5,33,FALSE,60.847205
1972,"republican","Richard M. Nixon",1972-10-09,4,29,FALSE,60.39091
1972,"republican","Richard M. Nixon",1972-10-10,4,28,FALSE,59.3916625
1972,"republican","Richard M. Nixon",1972-10-18,3,20,FALSE,59.11809
1972,"republican","Richard M. Nixon",1972-10-19,3,19,FALSE,58.810716
1972,"republican","Richard M. Nixon",1972-10-24,2,14,FALSE,58.35372
1972,"republican","Richard M. Nixon",1972-10-26,2,12,FALSE,58.3294777777778
1972,"republican","Richard M. Nixon",1972-11-04,0,3,FALSE,57.92342
1976,"democrat","Jimmy Carter",1976-02-16,37,260,TRUE,39.416481
1976,"democrat","Jimmy Carter",1976-03-13,33,234,TRUE,43.248674
1976,"democrat","Jimmy Carter",1976-03-16,33,231,TRUE,41.141149
1976,"democrat","Jimmy Carter",1976-03-22,32,225,TRUE,42.281451
1976,"democrat","Jimmy Carter",1976-03-29,31,218,TRUE,43.602956
1976,"democrat","Jimmy Carter",1976-04-12,29,204,TRUE,44.991575
1976,"democrat","Jimmy Carter",1976-04-15,29,201,TRUE,46.022055
1976,"democrat","Jimmy Carter",1976-05-16,24,170,TRUE,43.76374
1976,"democrat","Jimmy Carter",1976-06-14,20,141,TRUE,52.2389878857143
1976,"democrat","Jimmy Carter",1976-07-19,15,106,FALSE,54.291895
1976,"democrat","Jimmy Carter",1976-08-04,13,90,FALSE,55.1673264
1976,"democrat","Jimmy Carter",1976-08-09,12,85,FALSE,55.0624922307692
1976,"democrat","Jimmy Carter",1976-08-22,10,72,FALSE,51.382796
1976,"democrat","Jimmy Carter",1976-08-27,10,67,FALSE,50.424224
1976,"democrat","Jimmy Carter",1976-08-30,9,64,FALSE,51.826859
1976,"democrat","Jimmy Carter",1976-09-03,9,60,FALSE,49.5945297692308
1976,"democrat","Jimmy Carter",1976-09-16,7,47,FALSE,47.5806658571429
1976,"democrat","Jimmy Carter",1976-09-23,6,40,FALSE,47.5945765
1976,"democrat","Jimmy Carter",1976-09-27,5,36,FALSE,46.9765972857143
1976,"democrat","Jimmy Carter",1976-10-04,4,29,FALSE,46.3252654285714
1976,"democrat","Jimmy Carter",1976-10-11,3,22,FALSE,45.662252
1976,"democrat","Jimmy Carter",1976-10-13,3,20,FALSE,43.000971
1976,"democrat","Jimmy Carter",1976-10-14,3,19,FALSE,42.523463
1976,"democrat","Jimmy Carter",1976-10-15,3,18,FALSE,42.982978
1976,"democrat","Jimmy Carter",1976-10-16,2,17,FALSE,43.052324
1976,"democrat","Jimmy Carter",1976-10-18,2,15,FALSE,43.535908
1976,"democrat","Jimmy Carter",1976-10-20,2,13,FALSE,43.1489656
1976,"democrat","Jimmy Carter",1976-10-21,2,12,FALSE,43.161415
1976,"democrat","Jimmy Carter",1976-10-26,1,7,FALSE,43.35113675
1976,"democrat","Jimmy Carter",1976-10-30,0,3,FALSE,43.278179
1976,"democrat","Jimmy Carter",1976-10-31,0,2,FALSE,45.599425
1976,"republican","Gerald R. Ford",1976-02-16,37,260,TRUE,49.367782
1976,"republican","Gerald R. Ford",1976-03-13,33,234,TRUE,45.680087
1976,"republican","Gerald R. Ford",1976-03-16,33,231,TRUE,46.839628
1976,"republican","Gerald R. Ford",1976-03-22,32,225,TRUE,47.422559
1976,"republican","Gerald R. Ford",1976-03-29,31,218,TRUE,47.706367
1976,"republican","Gerald R. Ford",1976-04-12,29,204,TRUE,46.63453
1976,"republican","Gerald R. Ford",1976-04-15,29,201,TRUE,45.246056
1976,"republican","Gerald R. Ford",1976-05-16,24,170,TRUE,47.252952
1976,"republican","Gerald R. Ford",1976-06-14,20,141,TRUE,48.3386980571429
1976,"republican","Gerald R. Ford",1976-07-19,15,106,TRUE,35.79025
1976,"republican","Gerald R. Ford",1976-08-04,13,90,TRUE,35.1591858
1976,"republican","Gerald R. Ford",1976-08-09,12,85,TRUE,34.9650754615385
1976,"republican","Gerald R. Ford",1976-08-22,10,72,FALSE,37.882155
1976,"republican","Gerald R. Ford",1976-08-27,10,67,FALSE,38.739916
1976,"republican","Gerald R. Ford",1976-08-30,9,64,FALSE,37.737861
1976,"republican","Gerald R. Ford",1976-09-03,9,60,FALSE,37.1497065384615
1976,"republican","Gerald R. Ford",1976-09-16,7,47,FALSE,38.5564404285714
1976,"republican","Gerald R. Ford",1976-09-23,6,40,FALSE,40.6502245
1976,"republican","Gerald R. Ford",1976-09-27,5,36,FALSE,42.300427
1976,"republican","Gerald R. Ford",1976-10-04,4,29,FALSE,43.8882177142857
1976,"republican","Gerald R. Ford",1976-10-11,3,22,FALSE,42.353407
1976,"republican","Gerald R. Ford",1976-10-13,3,20,FALSE,41.047803
1976,"republican","Gerald R. Ford",1976-10-14,3,19,FALSE,39.975726
1976,"republican","Gerald R. Ford",1976-10-15,3,18,FALSE,40.896913
1976,"republican","Gerald R. Ford",1976-10-16,2,17,FALSE,41.875956
1976,"republican","Gerald R. Ford",1976-10-18,2,15,FALSE,41.7513495
1976,"republican","Gerald R. Ford",1976-10-20,2,13,FALSE,41.601941
1976,"republican","Gerald R. Ford",1976-10-21,2,12,FALSE,41.5591015
1976,"republican","Gerald R. Ford",1976-10-26,1,7,FALSE,41.735712
1976,"republican","Gerald R. Ford",1976-10-30,0,3,FALSE,43.30295
1976,"republican","Gerald R. Ford",1976-10-31,0,2,FALSE,45.014414
1980,"democrat","Jimmy Carter",1980-02-03,39,275,TRUE,58.713226
1980,"democrat","Jimmy Carter",1980-03-02,35,247,TRUE,56.372978
1980,"democrat","Jimmy Carter",1980-03-08,34,241,TRUE,56.075183
1980,"democrat","Jimmy Carter",1980-03-20,33,229,TRUE,51.932444
1980,"democrat","Jimmy Carter",1980-03-30,31,219,TRUE,42.924485
1980,"democrat","Jimmy Carter",1980-04-08,30,210,TRUE,41.17038
1980,"democrat","Jimmy Carter",1980-04-13,29,205,TRUE,40.486455
1980,"democrat","Jimmy Carter",1980-04-14,29,204,TRUE,40.6003655454545
1980,"democrat","Jimmy Carter",1980-04-25,28,193,TRUE,37.316465
1980,"democrat","Jimmy Carter",1980-04-27,27,191,TRUE,38.146762
1980,"democrat","Jimmy Carter",1980-04-30,27,188,TRUE,37.648578
1980,"democrat","Jimmy Carter",1980-05-05,26,183,TRUE,37.8571619230769
1980,"democrat","Jimmy Carter",1980-05-18,24,170,TRUE,37.4409001428571
1980,"democrat","Jimmy Carter",1980-06-01,22,156,TRUE,38.037738
1980,"democrat","Jimmy Carter",1980-06-08,21,149,TRUE,36.702727
1980,"democrat","Jimmy Carter",1980-06-09,21,148,TRUE,35.979732
1980,"democrat","Jimmy Carter",1980-06-12,21,145,TRUE,33.732236
1980,"democrat","Jimmy Carter",1980-06-15,20,142,TRUE,33.280508
1980,"democrat","Jimmy Carter",1980-06-16,20,141,TRUE,34.5982593333333
1980,"democrat","Jimmy Carter",1980-06-22,19,135,TRUE,32.890032
1980,"democrat","Jimmy Carter",1980-06-29,18,128,TRUE,31.7416412142857
1980,"democrat","Jimmy Carter",1980-07-13,16,114,TRUE,32.646476
1980,"democrat","Jimmy Carter",1980-07-14,16,113,TRUE,32.616573
1980,"democrat","Jimmy Carter",1980-07-16,16,111,TRUE,30.276522
1980,"democrat","Jimmy Carter",1980-07-21,15,106,TRUE,27.9938410769231
1980,"democrat","Jimmy Carter",1980-08-03,13,93,TRUE,27.578794
1980,"democrat","Jimmy Carter",1980-08-04,13,92,TRUE,28.199014
1980,"democrat","Jimmy Carter",1980-08-06,13,90,TRUE,26.8522926666667
1980,"democrat","Jimmy Carter",1980-08-07,13,89,TRUE,26.0342146666667
1980,"democrat","Jimmy Carter",1980-08-18,11,78,FALSE,32.369552
1980,"democrat","Jimmy Carter",1980-08-23,10,73,FALSE,33.8684172
1980,"democrat","Jimmy Carter",1980-08-28,10,68,FALSE,35.723231
1980,"democrat","Jimmy Carter",1980-09-03,9,62,FALSE,37.53759475
1980,"democrat","Jimmy Carter",1980-09-07,8,58,FALSE,36.8003337142857
1980,"democrat","Jimmy Carter",1980-09-14,7,51,FALSE,37.077087
1980,"democrat","Jimmy Carter",1980-09-15,7,50,FALSE,37.054643
1980,"democrat","Jimmy Carter",1980-09-21,6,44,FALSE,37.510105
1980,"democrat","Jimmy Carter",1980-09-24,6,41,FALSE,36.442552
1980,"democrat","Jimmy Carter",1980-09-25,6,40,FALSE,35.8784543333333
1980,"democrat","Jimmy Carter",1980-10-01,5,34,FALSE,35.4616102
1980,"democrat","Jimmy Carter",1980-10-06,4,29,FALSE,35.9352305
1980,"democrat","Jimmy Carter",1980-10-10,4,25,FALSE,36.2223095
1980,"democrat","Jimmy Carter",1980-10-12,3,23,FALSE,36.7032996666667
1980,"democrat","Jimmy Carter",1980-10-15,3,20,FALSE,36.88153
1980,"democrat","Jimmy Carter",1980-10-16,3,19,FALSE,37.8657225
1980,"democrat","Jimmy Carter",1980-10-20,2,15,FALSE,38.4934855
1980,"democrat","Jimmy Carter",1980-10-22,2,13,FALSE,38.524311
1980,"democrat","Jimmy Carter",1980-10-26,1,9,FALSE,39.448215
1980,"democrat","Jimmy Carter",1980-10-27,1,8,FALSE,39.6457196666667
1980,"democrat","Jimmy Carter",1980-10-30,1,5,FALSE,41.058518
1980,"democrat","Jimmy Carter",1980-11-01,0,3,FALSE,41.4894855
1980,"republican","Ronald Reagan",1980-02-03,39,275,TRUE,34.568326
1980,"republican","Ronald Reagan",1980-03-02,35,247,TRUE,36.307819
1980,"republican","Ronald Reagan",1980-03-08,34,241,TRUE,37.945648
1980,"republican","Ronald Reagan",1980-03-20,33,229,TRUE,41.096472
1980,"republican","Ronald Reagan",1980-03-30,31,219,TRUE,41.087329
1980,"republican","Ronald Reagan",1980-04-08,30,210,TRUE,43.462819
1980,"republican","Ronald Reagan",1980-04-13,29,205,TRUE,41.844472
1980,"republican","Ronald Reagan",1980-04-14,29,204,TRUE,40.8743753636364
1980,"republican","Ronald Reagan",1980-04-25,28,193,TRUE,40.945323
1980,"republican","Ronald Reagan",1980-04-27,27,191,TRUE,38.492578
1980,"republican","Ronald Reagan",1980-04-30,27,188,TRUE,38.229797
1980,"republican","Ronald Reagan",1980-05-05,26,183,TRUE,37.5740393076923
1980,"republican","Ronald Reagan",1980-05-18,24,170,TRUE,36.1153311428571
1980,"republican","Ronald Reagan",1980-06-01,22,156,TRUE,36.448809
1980,"republican","Ronald Reagan",1980-06-08,21,149,TRUE,38.1155186666667
1980,"republican","Ronald Reagan",1980-06-09,21,148,TRUE,38.022939
1980,"republican","Ronald Reagan",1980-06-12,21,145,TRUE,38.068759
1980,"republican","Ronald Reagan",1980-06-15,20,142,TRUE,38.129699
1980,"republican","Ronald Reagan",1980-06-16,20,141,TRUE,39.1336383333333
1980,"republican","Ronald Reagan",1980-06-22,19,135,TRUE,40.855057
1980,"republican","Ronald Reagan",1980-06-29,18,128,TRUE,41.5954432142857
1980,"republican","Ronald Reagan",1980-07-13,16,114,TRUE,37.546539
1980,"republican","Ronald Reagan",1980-07-14,16,113,TRUE,38.532178
1980,"republican","Ronald Reagan",1980-07-16,16,111,TRUE,40.295683
1980,"republican","Ronald Reagan",1980-07-21,15,106,FALSE,45.9969537692308
1980,"republican","Ronald Reagan",1980-08-03,13,93,FALSE,45.867919
1980,"republican","Ronald Reagan",1980-08-04,13,92,FALSE,46.709317
1980,"republican","Ronald Reagan",1980-08-06,13,90,FALSE,47.583605
1980,"republican","Ronald Reagan",1980-08-07,13,89,FALSE,47.8135904
1980,"republican","Ronald Reagan",1980-08-18,11,78,FALSE,43.167258
1980,"republican","Ronald Reagan",1980-08-23,10,73,FALSE,42.6831434
1980,"republican","Ronald Reagan",1980-08-28,10,68,FALSE,41.5276943333333
1980,"republican","Ronald Reagan",1980-09-03,9,62,FALSE,40.067608
1980,"republican","Ronald Reagan",1980-09-07,8,58,FALSE,40.4224624285714
1980,"republican","Ronald Reagan",1980-09-14,7,51,FALSE,38.33357
1980,"republican","Ronald Reagan",1980-09-15,7,50,FALSE,38.9394283333333
1980,"republican","Ronald Reagan",1980-09-21,6,44,FALSE,38.417617
1980,"republican","Ronald Reagan",1980-09-24,6,41,FALSE,39.79991
1980,"republican","Ronald Reagan",1980-09-25,6,40,FALSE,39.6856245
1980,"republican","Ronald Reagan",1980-10-01,5,34,FALSE,39.8395784
1980,"republican","Ronald Reagan",1980-10-06,4,29,FALSE,40.417509
1980,"republican","Ronald Reagan",1980-10-10,4,25,FALSE,40.9685875
1980,"republican","Ronald Reagan",1980-10-12,3,23,FALSE,41.7509073333333
1980,"republican","Ronald Reagan",1980-10-15,3,20,FALSE,42.243886
1980,"republican","Ronald Reagan",1980-10-16,3,19,FALSE,42.089053
1980,"republican","Ronald Reagan",1980-10-20,2,15,FALSE,41.2545393333333
1980,"republican","Ronald Reagan",1980-10-22,2,13,FALSE,41.2455156666667
1980,"republican","Ronald Reagan",1980-10-26,1,9,FALSE,41.60229
1980,"republican","Ronald Reagan",1980-10-27,1,8,FALSE,41.552632
1980,"republican","Ronald Reagan",1980-10-30,1,5,FALSE,41.818028
1980,"republican","Ronald Reagan",1980-11-01,0,3,FALSE,43.855999
1984,"democrat","Walter F. Mondale",1984-02-15,38,265,TRUE,41.726277
1984,"democrat","Walter F. Mondale",1984-03-02,36,249,TRUE,42.183237
1984,"democrat","Walter F. Mondale",1984-03-03,35,248,TRUE,42.005485
1984,"democrat","Walter F. Mondale",1984-03-06,35,245,TRUE,42.605671
1984,"democrat","Walter F. Mondale",1984-03-16,34,235,TRUE,40.918725
1984,"democrat","Walter F. Mondale",1984-03-17,33,234,TRUE,39.786032
1984,"democrat","Walter F. Mondale",1984-03-18,33,233,TRUE,40.0067589047619
1984,"democrat","Walter F. Mondale",1984-04-08,30,212,TRUE,39.20216
1984,"democrat","Walter F. Mondale",1984-04-15,29,205,TRUE,40.516625
1984,"democrat","Walter F. Mondale",1984-04-26,28,194,TRUE,39.767136
1984,"democrat","Walter F. Mondale",1984-05-03,27,187,TRUE,41.084326
1984,"democrat","Walter F. Mondale",1984-05-13,25,177,TRUE,41.280575
1984,"democrat","Walter F. Mondale",1984-05-24,24,166,TRUE,41.301592
1984,"democrat","Walter F. Mondale",1984-06-01,23,158,TRUE,39.623055
1984,"democrat","Walter F. Mondale",1984-06-08,22,151,TRUE,41.105649
1984,"democrat","Walter F. Mondale",1984-06-11,21,148,TRUE,40.997824
1984,"democrat","Walter F. Mondale",1984-06-25,19,134,TRUE,39.196803
1984,"democrat","Walter F. Mondale",1984-06-26,19,133,TRUE,38.270674
1984,"democrat","Walter F. Mondale",1984-06-28,19,131,TRUE,38.023193
1984,"democrat","Walter F. Mondale",1984-07-07,17,122,TRUE,39.845784
1984,"democrat","Walter F. Mondale",1984-07-10,17,119,TRUE,37.582628
1984,"democrat","Walter F. Mondale",1984-07-11,17,118,TRUE,39.10236
1984,"democrat","Walter F. Mondale",1984-07-12,17,117,TRUE,39.423049
1984,"democrat","Walter F. Mondale",1984-07-13,17,116,TRUE,40.2856111428571
1984,"democrat","Walter F. Mondale",1984-07-20,16,109,FALSE,44.43194
1984,"democrat","Walter F. Mondale",1984-07-24,15,105,FALSE,45.088561375
1984,"democrat","Walter F. Mondale",1984-08-09,13,89,FALSE,41.8658964
1984,"democrat","Walter F. Mondale",1984-08-14,12,84,FALSE,40.231573
1984,"democrat","Walter F. Mondale",1984-08-16,12,82,FALSE,39.650636
1984,"democrat","Walter F. Mondale",1984-08-25,10,73,FALSE,39.034293
1984,"democrat","Walter F. Mondale",1984-08-30,10,68,FALSE,37.655495125
1984,"democrat","Walter F. Mondale",1984-09-07,9,60,FALSE,37.574071
1984,"democrat","Walter F. Mondale",1984-09-09,8,58,FALSE,38.41014
1984,"democrat","Walter F. Mondale",1984-09-11,8,56,FALSE,37.8966978
1984,"democrat","Walter F. Mondale",1984-09-16,7,51,FALSE,37.2943751428571
1984,"democrat","Walter F. Mondale",1984-09-23,6,44,FALSE,37.5097117142857
1984,"democrat","Walter F. Mondale",1984-09-30,5,37,FALSE,37.381567
1984,"democrat","Walter F. Mondale",1984-10-03,5,34,FALSE,36.331691
1984,"democrat","Walter F. Mondale",1984-10-09,4,28,FALSE,37.2277205
1984,"democrat","Walter F. Mondale",1984-10-10,4,27,FALSE,37.4550543333333
1984,"democrat","Walter F. Mondale",1984-10-14,3,23,FALSE,39.08427
1984,"democrat","Walter F. Mondale",1984-10-16,3,21,FALSE,39.085769
1984,"democrat","Walter F. Mondale",1984-10-17,3,20,FALSE,39.6883616666667
1984,"democrat","Walter F. Mondale",1984-10-18,3,19,FALSE,39.670373
1984,"democrat","Walter F. Mondale",1984-10-21,2,16,FALSE,39.7927305
1984,"democrat","Walter F. Mondale",1984-10-23,2,14,FALSE,40.18135
1984,"democrat","Walter F. Mondale",1984-10-25,2,12,FALSE,39.930774
1984,"democrat","Walter F. Mondale",1984-10-26,2,11,FALSE,38.527534
1984,"democrat","Walter F. Mondale",1984-10-27,1,10,FALSE,38.331213
1984,"democrat","Walter F. Mondale",1984-10-28,1,9,FALSE,38.36052425
1984,"democrat","Walter F. Mondale",1984-11-01,1,5,FALSE,37.983104
1984,"democrat","Walter F. Mondale",1984-11-03,0,3,FALSE,38.87221
1984,"democrat","Walter F. Mondale",1984-11-04,0,2,FALSE,38.947609
1984,"republican","Ronald Reagan",1984-02-15,38,265,TRUE,52.884249
1984,"republican","Ronald Reagan",1984-03-02,36,249,TRUE,53.2276273333333
1984,"republican","Ronald Reagan",1984-03-03,35,248,TRUE,53.259522
1984,"republican","Ronald Reagan",1984-03-06,35,245,TRUE,52.751384
1984,"republican","Ronald Reagan",1984-03-16,34,235,TRUE,53.09083
1984,"republican","Ronald Reagan",1984-03-17,33,234,TRUE,53.942015
1984,"republican","Ronald Reagan",1984-03-18,33,233,TRUE,54.2814932380952
1984,"republican","Ronald Reagan",1984-04-08,30,212,TRUE,54.315811
1984,"republican","Ronald Reagan",1984-04-15,29,205,TRUE,54.083137
1984,"republican","Ronald Reagan",1984-04-26,28,194,TRUE,54.888211
1984,"republican","Ronald Reagan",1984-05-03,27,187,TRUE,54.463382
1984,"republican","Ronald Reagan",1984-05-13,25,177,TRUE,53.912046
1984,"republican","Ronald Reagan",1984-05-24,24,166,TRUE,54.089603
1984,"republican","Ronald Reagan",1984-06-01,23,158,TRUE,55.905951
1984,"republican","Ronald Reagan",1984-06-08,22,151,TRUE,55.23218
1984,"republican","Ronald Reagan",1984-06-11,21,148,TRUE,55.25421
1984,"republican","Ronald Reagan",1984-06-25,19,134,TRUE,56.055052
1984,"republican","Ronald Reagan",1984-06-26,19,133,TRUE,55.22805175
1984,"republican","Ronald Reagan",1984-06-28,19,131,TRUE,54.976408
1984,"republican","Ronald Reagan",1984-07-07,17,122,TRUE,53.437521
1984,"republican","Ronald Reagan",1984-07-10,17,119,TRUE,55.390213
1984,"republican","Ronald Reagan",1984-07-11,17,118,TRUE,54.755239
1984,"republican","Ronald Reagan",1984-07-12,17,117,TRUE,54.222451
1984,"republican","Ronald Reagan",1984-07-13,17,116,TRUE,53.1033718571429
1984,"republican","Ronald Reagan",1984-07-20,16,109,TRUE,49.910574
1984,"republican","Ronald Reagan",1984-07-24,15,105,TRUE,50.1284800625
1984,"republican","Ronald Reagan",1984-08-09,13,89,TRUE,53.1897896
1984,"republican","Ronald Reagan",1984-08-14,12,84,TRUE,54.232769
1984,"republican","Ronald Reagan",1984-08-16,12,82,TRUE,54.477283
1984,"republican","Ronald Reagan",1984-08-25,10,73,FALSE,54.720348
1984,"republican","Ronald Reagan",1984-08-30,10,68,FALSE,56.9478125
1984,"republican","Ronald Reagan",1984-09-07,9,60,FALSE,57.116837
1984,"republican","Ronald Reagan",1984-09-09,8,58,FALSE,57.197665
1984,"republican","Ronald Reagan",1984-09-11,8,56,FALSE,57.9247796
1984,"republican","Ronald Reagan",1984-09-16,7,51,FALSE,57.0808554285714
1984,"republican","Ronald Reagan",1984-09-23,6,44,FALSE,55.722242
1984,"republican","Ronald Reagan",1984-09-30,5,37,FALSE,55.749117
1984,"republican","Ronald Reagan",1984-10-03,5,34,FALSE,56.8651195
1984,"republican","Ronald Reagan",1984-10-09,4,28,FALSE,57.22135
1984,"republican","Ronald Reagan",1984-10-10,4,27,FALSE,57.3082856666667
1984,"republican","Ronald Reagan",1984-10-14,3,23,FALSE,56.434955
1984,"republican","Ronald Reagan",1984-10-16,3,21,FALSE,56.544634
1984,"republican","Ronald Reagan",1984-10-17,3,20,FALSE,56.60277
1984,"republican","Ronald Reagan",1984-10-18,3,19,FALSE,56.83764
1984,"republican","Ronald Reagan",1984-10-21,2,16,FALSE,56.576853
1984,"republican","Ronald Reagan",1984-10-23,2,14,FALSE,55.728918
1984,"republican","Ronald Reagan",1984-10-25,2,12,FALSE,55.800697
1984,"republican","Ronald Reagan",1984-10-26,2,11,FALSE,55.456338
1984,"republican","Ronald Reagan",1984-10-27,1,10,FALSE,55.616445
1984,"republican","Ronald Reagan",1984-10-28,1,9,FALSE,55.86481025
1984,"republican","Ronald Reagan",1984-11-01,1,5,FALSE,56.9409895
1984,"republican","Ronald Reagan",1984-11-03,0,3,FALSE,56.66412
1984,"republican","Ronald Reagan",1984-11-04,0,2,FALSE,56.92206
1988,"democrat","Michael S. Dukakis",1988-02-16,38,266,TRUE,28.622527
1988,"democrat","Michael S. Dukakis",1988-03-09,35,244,TRUE,33.437483
1988,"democrat","Michael S. Dukakis",1988-03-10,35,243,TRUE,36.258797
1988,"democrat","Michael S. Dukakis",1988-03-11,35,242,TRUE,40.28026
1988,"democrat","Michael S. Dukakis",1988-03-21,33,232,TRUE,45.7025572
1988,"democrat","Michael S. Dukakis",1988-03-22,33,231,TRUE,45.488792
1988,"democrat","Michael S. Dukakis",1988-03-31,32,222,TRUE,44.509537
1988,"democrat","Michael S. Dukakis",1988-04-07,31,215,TRUE,45.9878562857143
1988,"democrat","Michael S. Dukakis",1988-04-21,29,201,TRUE,47.016525
1988,"democrat","Michael S. Dukakis",1988-04-23,28,199,TRUE,47.0185994444444
1988,"democrat","Michael S. Dukakis",1988-05-02,27,190,TRUE,47.6570457
1988,"democrat","Michael S. Dukakis",1988-05-12,26,180,TRUE,48.01512
1988,"democrat","Michael S. Dukakis",1988-05-15,25,177,TRUE,50.347055
