state,year,total,D,R,R_pv2p,D_pv2p
Delaware,1980,235668,105754,111252,51.26678525017741,48.73321474982259
Delaware,1984,254572,101656,152190,59.95367269919557,40.04632730080442
Delaware,1988,249891,108647,139639,56.24118959586928,43.75881040413072
Delaware,1992,289620,126054,102313,44.80200729527471,55.19799270472529
Delaware,1996,270810,140355,99062,41.376343367430046,58.623656632569954
Delaware,2000,327529,180068,137288,43.259935214711554,56.740064785288446
Delaware,2004,375190,200152,171660,46.1684937549084,53.83150624509161
Delaware,2008,412412,255459,152374,37.36186135011144,62.63813864988855
Delaware,2012,413890,242584,165484,40.55304508072184,59.44695491927816
Delaware,2016,441590,235603,185127,44.001378556318784,55.998621443681216
District of Columbia,1976,168830,137818,27873,16.822277613147367,83.17772238685264
District of Columbia,1980,173889,130231,23313,15.183269942166413,84.8167300578336
District of Columbia,1984,211288,180408,29009,13.852266052899239,86.14773394710076
District of Columbia,1988,192877,159407,27590,14.754247394343226,85.24575260565678
District of Columbia,1992,227572,192619,20698,9.702930380607265,90.29706961939273
District of Columbia,1996,185726,158220,17339,9.876451791135743,90.12354820886426
District of Columbia,2000,201894,171923,18073,9.51230552222152,90.48769447777848
District of Columbia,2004,227586,202970,21256,9.479721352563931,90.52027864743607
District of Columbia,2008,265853,245800,17367,6.599231666584336,93.40076833341567
District of Columbia,2012,293764,267070,21381,7.412350797882484,92.58764920211752
District of Columbia,2016,312575,282830,12723,4.304811658145916,95.69518834185409
Florida,1976,3150631,1636000,1469531,47.3197981279208,52.6802018720792
Florida,1980,3686927,1419475,2046951,59.05076294719691,40.94923705280309
Florida,1984,4180051,1448816,2730350,65.33241321354548,34.66758678645452
Florida,1988,4302313,1656701,2618885,61.25207164585159,38.747928354148414
Florida,1992,5313392,2071698,2173310,51.19684108958098,48.803158910419015
Florida,1996,5303154,2546870,2244536,46.8450388048936,53.15496119510641
Florida,2000,5963110,2912253,2912790,50.00460940803355,49.99539059196644
Florida,2004,7609810,3583544,3964522,52.523679575668794,47.47632042433121
Florida,2008,8390744,4282074,4045624,48.580339969100706,51.419660030899294
Florida,2012,8474179,4237756,4163447,49.55774786063377,50.442252139366225
Florida,2016,9420039,4504975,4617886,50.61883547277548,49.38116452722452
Georgia,1976,1463152,979409,483743,33.06170514068258,66.93829485931741
Georgia,1980,1596805,890955,654168,42.33760030754833,57.66239969245167
Georgia,1984,1776103,706628,1068722,60.197820148139805,39.802179851860195
Georgia,1988,1809672,714792,1081331,60.203616344760356,39.796383655239644
Georgia,1992,2321133,1008966,995252,49.657871548903366,50.342128451096634
Georgia,1996,2298899,1053849,1080843,50.63226919855417,49.36773080144583
Georgia,2000,2583208,1116230,1419720,55.983753622902654,44.01624637709734
Georgia,2004,3301875,1366149,1914254,58.35423269640956,41.64576730359044
Georgia,2008,3924486,1844123,2048759,52.62833551081179,47.37166448918821
Georgia,2012,3897839,1773827,2078688,53.95664909805672,46.04335090194328
Georgia,2016,4114732,1877963,2089104,52.66117259930322,47.338827400696786
Hawaii,1976,291301,147375,140003,48.71736876170062,51.28263123829938
Hawaii,1980,303287,135879,130112,48.915940764913096,51.0840592350869
Hawaii,1984,335846,147154,185050,55.703724217649395,44.296275782350605
Hawaii,1988,354461,192364,158625,45.19372401984108,54.80627598015892
Hawaii,1992,372842,179310,136822,43.280022269178694,56.719977730821306
Hawaii,1996,360120,205012,113943,35.72384819175119,64.27615180824881
Hawaii,2000,367951,205286,137845,40.172703719570656,59.827296280429344
Hawaii,2004,429013,231708,194191,45.59555199706973,54.40444800293027
Hawaii,2008,456064,325871,120566,27.00627412154459,72.99372587845542
Hawaii,2012,437159,306658,121015,28.296151498925582,71.70384850107442
Hawaii,2016,437664,266891,128847,32.55866254946454,67.44133745053546
Idaho,1976,340932,126549,204151,61.732990625944964,38.267009374055036
Idaho,1980,437431,110192,290699,72.51322678733122,27.48677321266878
Idaho,1984,411144,108510,297523,73.27557119741499,26.72442880258501
Idaho,1988,408968,147272,253881,63.28782285063305,36.71217714936695
Idaho,1992,482114,137013,202645,59.66148302115658,40.33851697884342
Idaho,1996,491711,165443,256595,60.79902757571594,39.20097242428407
Idaho,2000,501615,138637,336937,70.84849045574401,29.151509544255994
Idaho,2004,598376,181098,409235,69.32273818336431,30.6772618166357
Idaho,2008,655122,236440,403012,63.02458980502055,36.97541019497945
Idaho,2012,652274,212787,420911,66.42138684357533,33.578613156424666
Idaho,2016,690255,189765,409055,68.31017668080558,31.689823319194417
Illinois,1976,4721282,2271295,2364269,51.0028337436394,48.99716625636061
Illinois,1980,4749721,1981413,2358049,54.339662382110966,45.660337617889034
Illinois,1984,4819088,2086499,2707103,56.47325330722075,43.52674669277925
Illinois,1988,4559120,2215940,2310939,51.04927699635886,48.95072300364114
Illinois,1992,5050157,2453350,1734096,41.411781787753206,58.5882182122468
Illinois,1996,4311391,2341744,1587021,40.39490781454223,59.60509218545778
Illinois,2000,4742108,2589026,2019421,43.81998968416041,56.18001031583959
Illinois,2004,5274322,2891550,2345946,44.79136595044655,55.20863404955345
Illinois,2008,5522371,3419348,2031179,37.26573595544064,62.73426404455936
Illinois,2012,5242014,3019512,2135216,41.42247660788309,58.5775233921169
Illinois,2016,5536424,3090729,2146015,40.97994860928852,59.02005139071148
Indiana,1976,2220362,1014714,1183958,53.84877780769482,46.15122219230518
Indiana,1980,2242033,844197,1255656,59.79732867014976,40.20267132985023
Indiana,1984,2233069,841481,1377230,62.07342912168372,37.926570878316284
Indiana,1988,2168621,860643,1297763,60.12599112493201,39.87400887506799
Indiana,1992,2305871,848420,989375,53.83489453393877,46.16510546606123
Indiana,1996,2135431,887424,1006693,53.14840635504565,46.851593644954356
Indiana,2000,2199302,901980,1245836,58.004782532581935,41.995217467418065
Indiana,2004,2468002,969011,1479438,60.42347624965846,39.57652375034154
Indiana,2008,2751054,1374039,1345648,49.47804655462191,50.52195344537809
Indiana,2012,2624534,1152887,1420543,55.200374597327304,44.799625402672696
Indiana,2016,2734958,1033126,1557286,60.117309524508066,39.88269047549193
Iowa,1976,1279303,619931,632864,50.51616585315235,49.48383414684765
Iowa,1980,1317661,508672,676026,57.063150271208364,42.93684972879164
Iowa,1984,1319805,605620,703088,53.72382533002015,46.27617466997986
Iowa,1988,1225614,670557,545355,44.85151885991749,55.14848114008251
Iowa,1992,1354607,586353,504891,46.26747088643786,53.73252911356213
Iowa,1996,1234075,620258,492644,44.26661107626727,55.73338892373273
Iowa,2000,1353022,638517,634373,49.83722081248183,50.16277918751817
Iowa,2004,1506908,741898,751957,50.33667926271291,49.66332073728709
Iowa,2008,1537123,828940,682379,45.15122221053265,54.84877778946735
Iowa,2012,1582180,822544,730617,47.040648071899824,52.959351928100176
Iowa,2016,1565580,653669,800983,55.06354784512034,44.93645215487965
Kansas,1976,957845,430421,502752,53.87554076253813,46.12445923746186
Kansas,1980,979795,326150,566812,63.47548943852034,36.52451056147966
Kansas,1984,1021991,333149,677296,67.02947711156966,32.970522888430345
Kansas,1988,993044,422636,554049,56.72750170218648,43.27249829781352
Kansas,1992,1157236,390434,449951,53.54105558761758,46.45894441238242
Kansas,1996,1074300,387659,583245,60.07236554798414,39.92763445201585
Kansas,2000,1072216,399276,622332,60.916907463528084,39.083092536471916
Kansas,2004,1187756,434993,736456,62.867098781082234,37.132901218917766
Kansas,2008,1235872,514765,699655,57.61227581890944,42.38772418109056
Kansas,2012,1159971,440726,692634,61.11332674525305,38.886673254746945
Kansas,2016,1184402,427005,671018,61.111470342606665,38.888529657393335
Kentucky,1976,1167142,615717,531852,46.34597135335653,53.65402864664347
Kentucky,1980,1295627,617417,635274,50.71274560126958,49.28725439873041
Kentucky,1984,1369345,539539,821702,60.36418238945198,39.635817610548024
Kentucky,1988,1322517,580368,734281,55.85376781178854,44.14623218821146
Kentucky,1992,1492900,665104,617178,48.13122230523395,51.86877769476605
Kentucky,1996,1388708,636614,623283,49.47094881565715,50.52905118434284
Kentucky,2000,1544106,638923,872520,57.727615265676576,42.272384734323424
Kentucky,2004,1795882,712733,1069439,60.00761991547393,39.992380084526076
Kentucky,2008,1826620,751985,1048462,58.23342758770461,41.76657241229539
Kentucky,2012,1797212,679370,1087190,61.54277239380491,38.45722760619509
Kentucky,2016,1924149,628854,1202971,65.67062901750987,34.32937098249014
Louisiana,1976,1277383,661365,587446,47.04042485211934,52.95957514788066
Louisiana,1980,1548591,708453,792853,52.81088598859925,47.18911401140074
Louisiana,1984,1706822,651586,1037299,61.419161162542146,38.58083883745785
Louisiana,1988,1628202,717460,883702,55.19129232394974,44.80870767605027
Louisiana,1992,1790017,815971,733386,47.33486213958435,52.66513786041565
Louisiana,1996,1783959,927837,712586,43.43916172840785,56.56083827159214
Louisiana,2000,1765656,792344,927871,53.93924596634723,46.06075403365277
Louisiana,2004,1943106,820299,1102169,57.330941269243496,42.66905873075651
Louisiana,2008,1960761,782989,1148275,59.45717416158537,40.542825838414636
Louisiana,2012,1994065,809141,1152262,58.74682561411397,41.25317438588602
Louisiana,2016,2029032,780154,1178638,60.1716772378078,39.82832276219221
Maine,1976,482968,232279,236320,50.431178897095386,49.568821102904614
Maine,1980,523011,220974,238522,51.909483434023365,48.090516565976635
Maine,1984,553144,214515,336500,61.06911790060162,38.93088209939838
Maine,1988,555035,243569,307131,55.771018703468314,44.228981296531686
Maine,1992,679499,263420,206504,43.94412713545169,56.055872864548306
Maine,1996,605897,312788,186378,37.337879583144684,62.662120416855316
Maine,2000,651817,319951,286616,47.25215845899958,52.74784154100042
Maine,2004,740752,396842,330201,45.4169835896914,54.5830164103086
Maine,2008,731163,421923,295273,41.1704750165924,58.8295249834076
Maine,2012,724758,401306,292276,42.14007860642289,57.85992139357711
Maine,2016,771892,357735,335593,48.40320887083747,51.59679112916253
Maryland,1976,1432273,759612,672661,46.964580076563614,53.035419923436386
Maryland,1980,1540496,726161,680606,48.380861933781496,51.6191380662185
Maryland,1984,1675873,787935,879918,52.75752719214463,47.24247280785537
Maryland,1988,1714358,826304,876167,51.46443023111701,48.53556976888299
Maryland,1992,1984580,988571,707094,41.70009996078235,58.299900039217654
Maryland,1996,1780870,966207,681530,41.36157651372761,58.63842348627239
Maryland,2000,2025212,1144008,813827,41.56770105754571,58.432298942454295
Maryland,2004,2384238,1334493,1024703,43.4344157924988,56.565584207501196
Maryland,2008,2631596,1629467,959862,37.06991270711447,62.93008729288553
Maryland,2012,2707327,1677844,971869,36.67827421309402,63.32172578690598
Maryland,2016,2781446,1677928,943169,35.98375031523061,64.01624968476939
Massachusetts,1976,2547558,1429475,1030276,41.88537782889406,58.114622171105935
Massachusetts,1980,2524090,1053802,1057631,50.09067301685632,49.90932698314368
Massachusetts,1984,2559383,1239606,1310936,51.39833023725937,48.60166976274062
Massachusetts,1988,2632801,1401415,1194635,46.01741106681304,53.98258893318696
Massachusetts,1992,2773664,1318639,805039,37.90777132879843,62.09222867120157
Massachusetts,1996,2556459,1571509,718058,31.362174594584914,68.63782540541509
Massachusetts,2000,2733964,1616487,878502,35.21065623936618,64.78934376063381
Massachusetts,2004,2927455,1803800,1071109,37.25714448700811,62.74285551299189
Massachusetts,2008,3102995,1904097,1108854,36.80292178664705,63.19707821335295
Massachusetts,2012,3184196,1921290,1188314,38.214319250939994,61.78568074906001
Massachusetts,2016,3378821,1995196,1090893,35.34872131037051,64.65127868962949
Michigan,1976,3651590,1696714,1893742,52.743774049869984,47.25622595013001
Michigan,1980,3909725,1661532,1915225,53.54641089679841,46.45358910320159
Michigan,1984,3801658,1529638,2251571,59.54632499816858,40.45367500183142
Michigan,1988,3669163,1675783,1965486,53.97804996005513,46.02195003994486
Michigan,1992,4274673,1871182,1554940,45.38484035302888,54.61515964697112
Michigan,1996,3848844,1989653,1481212,42.675586633303226,57.32441336669677
Michigan,2000,4232501,2170418,1953139,47.365393518265904,52.63460648173409
Michigan,2004,4839252,2479183,2313746,48.2741555320348,51.72584446796521
Michigan,2008,5001596,2872579,2048639,41.62869842384548,58.37130157615452
Michigan,2012,4730961,2564569,2115256,45.19946792882212,54.80053207117788
Michigan,2016,4799284,2268839,2279543,50.117668216961555,49.88233178303845
Minnesota,1976,1949931,1070440,819395,43.3580180280289,56.6419819719711
Minnesota,1980,2051916,954173,873268,47.7863854428132,52.213614557186794
Minnesota,1984,2084449,1036364,1032603,49.90910923180505,50.09089076819495
Minnesota,1988,2096790,1109471,962337,46.44914007475596,53.55085992524404
Minnesota,1992,2347948,1020997,747841,42.278659775513646,57.72134022448636
Minnesota,1996,2192492,1120380,766395,40.61931072862424,59.380689271375765
Minnesota,2000,2438685,1168266,1109659,48.71358802418868,51.28641197581132
Minnesota,2004,2828387,1445014,1346695,48.23908938933105,51.76091061066895
Minnesota,2008,2910369,1573354,1275409,44.77062500460726,55.22937499539273
Minnesota,2012,2936561,1546167,1320225,46.058773538301814,53.941226461698186
Minnesota,2016,2944782,1367705,1322949,49.168306292819516,50.83169370718048
Mississippi,1976,768390,381329,366846,49.0321114712467,50.9678885287533
Mississippi,1980,891750,429281,441089,50.678332203545615,49.321667796454385
Mississippi,1984,941104,352192,582377,62.315035058941604,37.68496494105839
Mississippi,1988,931527,363921,557890,60.52108295518279,39.478917044817216
Mississippi,1992,981793,400258,487793,54.92848946738419,45.071510532615804
Mississippi,1996,893857,394022,439838,52.747223754587104,47.252776245412896
Mississippi,2000,994184,404614,572844,58.605484839246294,41.394515160753706
Mississippi,2004,1139824,457766,672660,59.50500076962136,40.49499923037864
Mississippi,2008,1289865,554662,724597,56.64193099286384,43.358069007136166
Mississippi,2012,1285584,562949,710746,55.80189919878777,44.19810080121222
Mississippi,2016,1209357,485131,700714,59.08984732406006,40.91015267593994
Missouri,1976,1953600,998387,927443,48.158092874241234,51.841907125758766
Missouri,1980,2099824,931182,1074181,53.565414341443415,46.434585658556585
Missouri,1984,2122771,848583,1274188,60.024750667877036,39.975249332122964
Missouri,1988,2093228,1001619,1084953,51.99691168097722,48.00308831902278
Missouri,1992,2391270,1053873,811159,43.49303389968644,56.50696610031356
Missouri,1996,2158065,1025935,890016,46.45296252357184,53.54703747642815
Missouri,2000,2359892,1111138,1189924,51.711948656750664,48.288051343249336
Missouri,2004,2731364,1259171,1455713,53.61971266543984,46.38028733456015
Missouri,2008,2925205,1441911,1445814,50.06757914967665,49.93242085032335
Missouri,2012,2757323,1223796,1482440,54.778666753379966,45.22133324662003
Missouri,2016,2808605,1071068,1594511,59.81856099556606,40.18143900443393
Montana,1976,328734,149259,173703,53.78434614598622,46.21565385401378
Montana,1980,363952,118032,206814,63.66524445429527,36.33475554570473
Montana,1984,384377,146742,232450,61.301398763687,38.698601236313
Montana,1988,365674,168936,190412,52.98818972138428,47.01181027861572
Montana,1992,410583,154507,144207,48.2759428751247,51.7240571248753
Montana,1996,407083,167922,179652,51.68741045072416,48.312589549275835
Montana,2000,410986,137126,240178,63.656361978669715,36.343638021330285
Montana,2004,450434,173710,266063,60.50007617566335,39.49992382433665
Montana,2008,490109,231667,242763,51.16940328394073,48.83059671605927
Montana,2012,484048,201839,267928,57.03423186388146,42.96576813611854
Montana,2016,494526,177709,279240,61.10966431702444,38.89033568297556
Nebraska,1976,606749,233293,359219,60.626451447396846,39.373548552603154
Nebraska,1980,639533,166424,419214,71.58244512821913,28.417554871780858
Nebraska,1984,652090,187866,460054,71.004753673293,28.995246326707004
Nebraska,1988,661465,259235,397956,60.5540854941714,39.4459145058286
Nebraska,1992,737546,216864,343678,61.311730432331565,38.688269567668435
Nebraska,1996,677415,236761,363467,60.55482250078303,39.44517749921697
Nebraska,2000,697019,231780,433862,65.17948086208503,34.82051913791497
Nebraska,2004,778186,254328,512814,66.84733725959471,33.1526627404053
Nebraska,2008,801281,333319,452979,57.60907442216564,42.39092557783436
Nebraska,2012,794379,302081,475064,61.12939026822536,38.870609731774636
Nebraska,2016,844227,284494,495961,63.547674113177564,36.45232588682243
Nevada,1976,201876,92479,101273,52.26939592881622,47.73060407118378
Nevada,1980,243692,66666,155017,69.92732866300078,30.07267133699923
Nevada,1984,282717,91655,188770,67.31568155478291,32.68431844521708
Nevada,1988,343133,132738,206040,60.81858916458566,39.18141083541434
Nevada,1992,506318,189148,175828,48.175222480382274,51.824777519617726
Nevada,1996,464279,203974,199244,49.41346864475296,50.58653135524703
Nevada,2000,609426,279978,301575,51.85683849967243,48.14316150032757
Nevada,2004,829587,397190,418690,51.3175957248615,48.6824042751385
Nevada,2008,967848,533736,412827,43.6132618748039,56.3867381251961
Nevada,2012,1014918,531373,463567,46.592457836653466,53.407542163346534
Nevada,2016,1125385,539260,512058,48.7062905800148,51.2937094199852
New Hampshire,1976,339627,147645,185935,55.73925295281492,44.260747047185085
New Hampshire,1980,383990,108864,221705,67.06769237284803,32.93230762715197
New Hampshire,1984,388904,120347,267050,68.93445225440568,31.065547745594312
New Hampshire,1988,450525,163696,281537,63.23363272713388,36.76636727286612
New Hampshire,1992,537215,209040,202484,49.2034486445505,50.7965513554495
New Hampshire,1996,496597,246166,196486,44.38836828931079,55.61163171068921
New Hampshire,2000,569081,266348,273559,50.6678001952188,49.3321998047812
New Hampshire,2004,678287,340511,331237,49.309711379862684,50.690288620137316
New Hampshire,2008,710970,384826,316534,45.131458879890495,54.868541120109505
New Hampshire,2012,710972,369561,329918,47.16624802174189,52.83375197825811
New Hampshire,2016,744296,348526,345790,49.802971557619294,50.1970284423807
New Jersey,1976,3014472,1444653,1509688,51.100668473950705,48.899331526049295
New Jersey,1980,2975684,1147364,1546557,57.40914451463127,42.59085548536872
New Jersey,1984,3217862,1261323,1933630,60.52139108149635,39.47860891850365
New Jersey,1988,3099553,1320352,1743192,56.90115761353517,43.098842386464824
New Jersey,1992,3343594,1436206,1356865,48.579681647906554,51.42031835209345
New Jersey,1996,3075860,1652361,1103099,40.0332067966873,59.9667932033127
New Jersey,2000,3187226,1788850,1284173,41.788590583279074,58.211409416720926
New Jersey,2004,3611691,1911430,1670003,46.629463681157794,53.37053631884221
New Jersey,2008,3868237,2215422,1613207,42.13537012857605,57.864629871423944
New Jersey,2012,3638499,2122786,1478088,41.04803444941423,58.95196555058577
New Jersey,2016,3874046,2148278,1601933,42.715809857098705,57.284190142901295
New Mexico,1976,416590,201148,211419,51.244767516548826,48.755232483451174
New Mexico,1980,456237,167826,250779,59.90826674311105,40.09173325688895
New Mexico,1984,514370,201769,307101,60.349598129188195,39.6504018708118
New Mexico,1988,521387,244497,270341,52.509915740485354,47.490084259514646
New Mexico,1992,569986,261617,212824,44.857843230243596,55.14215676975641
New Mexico,1996,556074,273495,232751,45.97586943896841,54.02413056103159
New Mexico,2000,598605,286783,286417,49.96807397069086,50.03192602930914
New Mexico,2004,756304,370942,376930,50.40033588635489,49.59966411364511
New Mexico,2008,830158,472422,346832,42.33509998120241,57.664900018797596
New Mexico,2012,783758,415335,335788,44.704795353091306,55.295204646908694
New Mexico,2016,798319,385234,319667,45.34920506567589,54.65079493432411
New York,1976,6668262,3244165,2825913,46.5548053912981,53.4451946087019
New York,1980,6201959,2728372,2637700,49.155136196458045,50.84486380354196
New York,1984,6806810,3001285,3376519,52.9417178702889,47.0582821297111
New York,1988,6485683,3255487,2838414,46.57794736081207,53.42205263918793
New York,1992,7079432,3346894,2041690,37.88917459577507,62.11082540422493
New York,1996,6439129,3649630,1738707,32.26797061876419,67.7320293812358
New York,2000,6960215,3942215,2258577,36.42400841698931,63.57599158301068
New York,2004,7448266,4180755,2806993,40.170209343553886,59.829790656446114
New York,2008,7722019,4645332,2418323,34.23614262021574,65.76385737978427
New York,2012,7116784,4324228,2223397,33.957305129722606,66.04269487027739
New York,2016,7802084,4379789,2527142,36.58849350022463,63.41150649977537
North Carolina,1976,1677906,927365,741960,44.44670750153505,55.55329249846495
North Carolina,1980,1855833,875635,915018,51.09968262974457,48.90031737025543
North Carolina,1984,2175361,824287,1346481,62.02786294988686,37.97213705011314
North Carolina,1988,2134370,890167,1237258,58.15753786855,41.84246213144999
North Carolina,1992,2611850,1114042,1134661,50.45846427918671,49.541535720813286
North Carolina,1996,2515807,1107849,1225938,52.52998666973464,47.47001333026536
North Carolina,2000,2914990,1257692,1631163,56.46399698150305,43.53600301849695
North Carolina,2004,3501007,1525849,1961166,56.24197200184111,43.75802799815888
North Carolina,2008,4310851,2142651,2128474,49.83403669993269,50.16596330006732
North Carolina,2012,4505372,2178391,2270395,51.034034903005,48.965965096995
North Carolina,2016,4741564,2189316,2362631,51.903745803718714,48.096254196281286
North Dakota,1976,297308,136078,153684,53.03801050517322,46.96198949482679
North Dakota,1980,301116,79189,193695,70.98070975212912,29.019290247870888
North Dakota,1984,308971,104429,200336,65.73458238314767,34.265417616852325
North Dakota,1988,297261,127739,166559,56.59535572786767,43.40464427213233
North Dakota,1992,308133,99168,136244,57.87470477290877,42.12529522709122
North Dakota,1996,266411,106905,125050,53.91131900584165,46.08868099415835
North Dakota,2000,288256,95284,174852,64.72739657061628,35.27260342938372
North Dakota,2004,312833,111052,196651,63.90935414994329,36.09064585005671
North Dakota,2008,316621,141278,168601,54.40865628196813,45.59134371803188
North Dakota,2012,322932,124966,188320,60.11120828891173,39.888791711088274
North Dakota,2016,344360,93758,216794,69.80924289651973,30.190757103480255
Ohio,1976,4110456,2009959,2000626,49.88364540335138,50.11635459664861
Ohio,1980,4283603,1752414,2206545,55.73548501007461,44.26451498992538
Ohio,1984,4563235,1825440,2678559,59.47068371906832,40.529316280931674
Ohio,1988,4393585,1939629,2416549,55.474064650250746,44.525935349749254
Ohio,1992,4939967,1984942,1894310,48.831836653045485,51.16816334695452
Ohio,1996,4534434,2148222,1859883,46.40305081827946,53.59694918172055
Ohio,2000,4701998,2183628,2350363,51.83872222066608,48.16127777933392
Ohio,2004,5627903,2741165,2859764,51.058744004789204,48.94125599521079
Ohio,2008,5708350,2940044,2677820,47.66615923774587,52.33384076225413
Ohio,2012,5580822,2827621,2661407,48.48594323075051,51.51405676924949
Ohio,2016,5496487,2394164,2841005,54.26768457713591,45.7323154228641
Oklahoma,1976,1092251,532442,545708,50.615220516625705,49.384779483374295
Oklahoma,1980,1149708,402026,695570,63.372133280369106,36.6278667196309
Oklahoma,1984,1255676,385080,861530,69.10982584769896,30.890174152301043
Oklahoma,1988,1171036,483423,678367,58.38981227244167,41.61018772755833
Oklahoma,1992,1390359,473066,592929,55.62211830261868,44.37788169738132
Oklahoma,1996,1206713,488105,582315,54.40060910670578,45.59939089329422
