"year","state","party","candidate_name","poll_date","weeks_left","days_left","before_convention","avg_poll"
1972,"Michigan","republican","Richard M. Nixon",1972-10-05,5,33,FALSE,53.662418
1972,"Michigan","republican","Richard M. Nixon",1972-10-10,4,28,FALSE,52.7051483333333
1972,"Michigan","republican","Richard M. Nixon",1972-10-16,3,22,FALSE,52.0881016666667
1972,"Michigan","republican","Richard M. Nixon",1972-10-22,2,16,FALSE,53.5935807692308
1972,"Michigan","republican","Richard M. Nixon",1972-11-04,0,3,FALSE,54.96976
1972,"Minnesota","democrat","George S. McGovern",1972-08-16,12,83,FALSE,31.3190855555556
1972,"Minnesota","democrat","George S. McGovern",1972-10-09,4,29,FALSE,33.9470690625
1972,"Minnesota","republican","Richard M. Nixon",1972-08-16,12,83,TRUE,58.6543987037037
1972,"Minnesota","republican","Richard M. Nixon",1972-10-09,4,29,FALSE,59.72691
1972,"Missouri","democrat","George S. McGovern",1972-09-27,6,41,FALSE,12.7368471428571
1972,"Missouri","democrat","George S. McGovern",1972-10-04,5,34,FALSE,19.2838471428571
1972,"Missouri","democrat","George S. McGovern",1972-10-11,4,27,FALSE,15.5421263333333
1972,"Missouri","republican","Richard M. Nixon",1972-09-27,6,41,FALSE,62.58087
1972,"Missouri","republican","Richard M. Nixon",1972-10-04,5,34,FALSE,57.8703128571429
1972,"Missouri","republican","Richard M. Nixon",1972-10-11,4,27,FALSE,58.5460363333333
1972,"New Jersey","democrat","George S. McGovern",1972-07-01,18,129,TRUE,28.0001859405941
1972,"New Jersey","democrat","George S. McGovern",1972-10-10,4,28,FALSE,27.6774083333333
1972,"New Jersey","democrat","George S. McGovern",1972-10-16,3,22,FALSE,29.39879125
1972,"New Jersey","democrat","George S. McGovern",1972-10-24,2,14,FALSE,30.2626458823529
1972,"New Jersey","republican","Richard M. Nixon",1972-07-01,18,129,TRUE,49.0002750495049
1972,"New Jersey","republican","Richard M. Nixon",1972-10-10,4,28,FALSE,54.3486233333333
1972,"New Jersey","republican","Richard M. Nixon",1972-10-16,3,22,FALSE,55.05393625
1972,"New Jersey","republican","Richard M. Nixon",1972-10-24,2,14,FALSE,53.1480158823529
1972,"New York","democrat","George S. McGovern",1972-09-11,8,57,FALSE,31.11303
1972,"New York","democrat","George S. McGovern",1972-09-16,7,52,FALSE,28.1697175
1972,"New York","democrat","George S. McGovern",1972-09-28,6,40,FALSE,25.0445185714286
1972,"New York","democrat","George S. McGovern",1972-10-05,5,33,FALSE,23.9727333333333
1972,"New York","democrat","George S. McGovern",1972-10-08,4,30,FALSE,29.367675
1972,"New York","democrat","George S. McGovern",1972-10-16,3,22,FALSE,31.6091683333333
1972,"New York","democrat","George S. McGovern",1972-10-22,2,16,FALSE,34.7198592307692
1972,"New York","democrat","George S. McGovern",1972-11-04,0,3,FALSE,35.87733
1972,"New York","republican","Richard M. Nixon",1972-09-11,8,57,FALSE,51.16222
1972,"New York","republican","Richard M. Nixon",1972-09-16,7,52,FALSE,55.1932508333333
1972,"New York","republican","Richard M. Nixon",1972-09-28,6,40,FALSE,58.5687685714286
1972,"New York","republican","Richard M. Nixon",1972-10-05,5,33,FALSE,58.5434
1972,"New York","republican","Richard M. Nixon",1972-10-08,4,30,FALSE,56.7899925
1972,"New York","republican","Richard M. Nixon",1972-10-16,3,22,FALSE,59.3076533333333
1972,"New York","republican","Richard M. Nixon",1972-10-22,2,16,FALSE,57.5839461538461
1972,"New York","republican","Richard M. Nixon",1972-11-04,0,3,FALSE,58.8518
1972,"North Carolina","democrat","George S. McGovern",1972-09-16,7,52,FALSE,24.2823678181818
1972,"North Carolina","republican","Richard M. Nixon",1972-09-16,7,52,FALSE,65.6367618181818
1972,"Ohio","democrat","George S. McGovern",1972-10-05,5,33,FALSE,36.3461664705882
1972,"Ohio","democrat","George S. McGovern",1972-10-22,2,16,FALSE,34.0346615384615
1972,"Ohio","democrat","George S. McGovern",1972-11-04,0,3,FALSE,33.45072
1972,"Ohio","republican","Richard M. Nixon",1972-10-05,5,33,FALSE,54.6208
1972,"Ohio","republican","Richard M. Nixon",1972-10-22,2,16,FALSE,59.3919030769231
1972,"Ohio","republican","Richard M. Nixon",1972-11-04,0,3,FALSE,56.30234
1972,"Oklahoma","democrat","George S. McGovern",1972-10-16,3,22,FALSE,21.9673252
1972,"Oklahoma","republican","Richard M. Nixon",1972-10-16,3,22,FALSE,74.7805216
1972,"Oregon","democrat","George S. McGovern",1972-09-19,7,49,FALSE,36.992471875
1972,"Oregon","democrat","George S. McGovern",1972-10-05,5,33,FALSE,37.1300625
1972,"Oregon","republican","Richard M. Nixon",1972-09-19,7,49,FALSE,48.002371875
1972,"Oregon","republican","Richard M. Nixon",1972-10-05,5,33,FALSE,48.9176613888889
1972,"Pennsylvania","democrat","George S. McGovern",1972-10-22,2,16,FALSE,38.5867721052632
1972,"Pennsylvania","republican","Richard M. Nixon",1972-10-22,2,16,FALSE,58.2256894736842
1976,"California","democrat","Jimmy Carter",1976-08-05,13,89,FALSE,53.3531679152542
1976,"California","democrat","Jimmy Carter",1976-10-03,4,30,FALSE,46.9027765
1976,"California","democrat","Jimmy Carter",1976-10-11,3,22,FALSE,45.3241277272727
1976,"California","democrat","Jimmy Carter",1976-10-22,2,11,FALSE,45.1261738571429
1976,"California","democrat","Jimmy Carter",1976-10-29,1,4,FALSE,42.7688732
1976,"California","republican","Gerald R. Ford",1976-08-05,13,89,TRUE,33.8655468305085
1976,"California","republican","Gerald R. Ford",1976-10-03,4,30,FALSE,34.947568875
1976,"California","republican","Gerald R. Ford",1976-10-11,3,22,FALSE,38.7534943636364
1976,"California","republican","Gerald R. Ford",1976-10-22,2,11,FALSE,42.2781942857143
1976,"California","republican","Gerald R. Ford",1976-10-29,1,4,FALSE,46.0110724
1976,"Colorado","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,42.34900325
1976,"Colorado","democrat","Jimmy Carter",1976-10-24,1,9,FALSE,42.1670428
1976,"Colorado","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,42.917315875
1976,"Colorado","republican","Gerald R. Ford",1976-10-24,1,9,FALSE,43.5154632
1976,"Connecticut","democrat","Jimmy Carter",1976-07-16,16,109,FALSE,48.1570352
1976,"Connecticut","democrat","Jimmy Carter",1976-09-29,5,34,FALSE,41.70159
1976,"Connecticut","republican","Gerald R. Ford",1976-07-16,16,109,TRUE,43.3643492933333
1976,"Connecticut","republican","Gerald R. Ford",1976-09-29,5,34,FALSE,43.1514924285714
1976,"Delaware","democrat","Jimmy Carter",1976-09-03,9,60,FALSE,33.3311515901639
1976,"Delaware","republican","Gerald R. Ford",1976-09-03,9,60,FALSE,30.8425724918033
1976,"Georgia","democrat","Jimmy Carter",1976-10-24,1,9,FALSE,59.7990218
1976,"Georgia","republican","Gerald R. Ford",1976-10-24,1,9,FALSE,30.4048573
1976,"Idaho","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,29.3145468461538
1976,"Idaho","democrat","Jimmy Carter",1976-10-29,1,4,FALSE,28.5268558
1976,"Idaho","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,45.9258834615385
1976,"Idaho","republican","Gerald R. Ford",1976-10-29,1,4,FALSE,47.2116496
1976,"Illinois","democrat","Jimmy Carter",1976-09-11,7,52,FALSE,41.3479938181818
1976,"Illinois","democrat","Jimmy Carter",1976-10-03,4,30,FALSE,48.6416423076923
1976,"Illinois","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,49.5476674
1976,"Illinois","democrat","Jimmy Carter",1976-10-21,2,12,FALSE,47.272747125
1976,"Illinois","democrat","Jimmy Carter",1976-10-29,1,4,FALSE,46.5540696
1976,"Illinois","republican","Gerald R. Ford",1976-09-11,7,52,FALSE,44.9219709545455
1976,"Illinois","republican","Gerald R. Ford",1976-10-03,4,30,FALSE,46.0401766923077
1976,"Illinois","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,46.9953674
1976,"Illinois","republican","Gerald R. Ford",1976-10-21,2,12,FALSE,46.230092625
1976,"Illinois","republican","Gerald R. Ford",1976-10-29,1,4,FALSE,48.106145
1976,"Indiana","democrat","Jimmy Carter",1976-07-16,16,109,FALSE,49.5689915869565
1976,"Indiana","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,44.0781754444444
1976,"Indiana","republican","Gerald R. Ford",1976-07-16,16,109,TRUE,42.3818644673913
1976,"Indiana","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,43.1242420555556
1976,"Iowa","democrat","Jimmy Carter",1976-10-10,3,23,FALSE,44.357686125
1976,"Iowa","republican","Gerald R. Ford",1976-10-10,3,23,FALSE,45.9389781666667
1976,"Kansas","democrat","Jimmy Carter",1976-07-16,16,109,FALSE,49.6632470925926
1976,"Kansas","democrat","Jimmy Carter",1976-09-08,8,55,FALSE,44.014469875
1976,"Kansas","democrat","Jimmy Carter",1976-09-16,7,47,FALSE,42.5476631481481
1976,"Kansas","democrat","Jimmy Carter",1976-10-13,3,20,FALSE,41.2235720952381
1976,"Kansas","republican","Gerald R. Ford",1976-07-16,16,109,TRUE,47.9150565
1976,"Kansas","republican","Gerald R. Ford",1976-09-08,8,55,FALSE,45.384232125
1976,"Kansas","republican","Gerald R. Ford",1976-09-16,7,47,FALSE,46.2459187777778
1976,"Kansas","republican","Gerald R. Ford",1976-10-13,3,20,FALSE,45.9574666666667
1976,"Maine","democrat","Jimmy Carter",1976-10-30,0,3,FALSE,39.27672725
1976,"Maine","republican","Gerald R. Ford",1976-10-30,0,3,FALSE,41.68300025
1976,"Maryland","democrat","Jimmy Carter",1976-09-27,5,36,FALSE,38.0000902432432
1976,"Maryland","republican","Gerald R. Ford",1976-09-27,5,36,FALSE,30.0019213513514
1976,"Massachusetts","democrat","Jimmy Carter",1976-10-10,3,23,FALSE,50.3607987916667
1976,"Massachusetts","republican","Gerald R. Ford",1976-10-10,3,23,FALSE,35.892566625
1976,"Michigan","democrat","Jimmy Carter",1976-07-19,15,106,FALSE,43.9957309259259
1976,"Michigan","democrat","Jimmy Carter",1976-09-11,7,52,FALSE,39.8896580416667
1976,"Michigan","democrat","Jimmy Carter",1976-10-05,4,28,FALSE,40.887933
1976,"Michigan","democrat","Jimmy Carter",1976-10-10,3,23,FALSE,41.2813244444444
1976,"Michigan","democrat","Jimmy Carter",1976-10-19,2,14,FALSE,42.079592875
1976,"Michigan","democrat","Jimmy Carter",1976-10-27,1,6,FALSE,41.6928607142857
1976,"Michigan","republican","Gerald R. Ford",1976-07-19,15,106,TRUE,43.0067364074074
1976,"Michigan","republican","Gerald R. Ford",1976-09-11,7,52,FALSE,42.537719125
1976,"Michigan","republican","Gerald R. Ford",1976-10-05,4,28,FALSE,44.453233
1976,"Michigan","republican","Gerald R. Ford",1976-10-10,3,23,FALSE,45.3862593333333
1976,"Michigan","republican","Gerald R. Ford",1976-10-19,2,14,FALSE,45.568420625
1976,"Michigan","republican","Gerald R. Ford",1976-10-27,1,6,FALSE,45.0210694285714
1976,"Minnesota","democrat","Jimmy Carter",1976-09-03,9,60,FALSE,50.3549529666667
1976,"Minnesota","democrat","Jimmy Carter",1976-10-03,4,30,FALSE,50.3594365483871
1976,"Minnesota","republican","Gerald R. Ford",1976-09-03,9,60,FALSE,38.8979134333333
1976,"Minnesota","republican","Gerald R. Ford",1976-10-03,4,30,FALSE,36.2037676774194
1976,"Missouri","democrat","Jimmy Carter",1976-10-04,4,29,FALSE,40.0005968571429
1976,"Missouri","democrat","Jimmy Carter",1976-10-25,1,8,FALSE,46.0913267777778
1976,"Missouri","republican","Gerald R. Ford",1976-10-04,4,29,FALSE,42.0012146190476
1976,"Missouri","republican","Gerald R. Ford",1976-10-25,1,8,FALSE,43.8337268888889
1976,"Nebraska","democrat","Jimmy Carter",1976-09-18,6,45,FALSE,33.3319110869565
1976,"Nebraska","republican","Gerald R. Ford",1976-09-18,6,45,FALSE,52.9353955434783
1976,"New Jersey","democrat","Jimmy Carter",1976-09-19,6,44,FALSE,37.0950006888889
1976,"New Jersey","republican","Gerald R. Ford",1976-09-19,6,44,FALSE,44.6281928666667
1976,"New York","democrat","Jimmy Carter",1976-09-22,6,41,FALSE,40.4694217391304
1976,"New York","democrat","Jimmy Carter",1976-10-15,3,18,FALSE,44.753468
1976,"New York","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,48.6060695454545
1976,"New York","democrat","Jimmy Carter",1976-10-27,1,6,FALSE,49.2875545714286
1976,"New York","republican","Gerald R. Ford",1976-09-22,6,41,FALSE,37.8368693478261
1976,"New York","republican","Gerald R. Ford",1976-10-15,3,18,FALSE,39.463903
1976,"New York","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,41.8603780909091
1976,"New York","republican","Gerald R. Ford",1976-10-27,1,6,FALSE,44.296354
1976,"North Carolina","democrat","Jimmy Carter",1976-10-20,2,13,FALSE,41.1992977857143
1976,"North Carolina","republican","Gerald R. Ford",1976-10-20,2,13,FALSE,40.5037632857143
1976,"Ohio","democrat","Jimmy Carter",1976-09-25,5,38,FALSE,53.3575348717949
1976,"Ohio","republican","Gerald R. Ford",1976-09-25,5,38,FALSE,41.9213587948718
1976,"Oregon","democrat","Jimmy Carter",1976-09-18,6,45,FALSE,45.3530806
1976,"Oregon","democrat","Jimmy Carter",1976-10-03,4,30,FALSE,42.6630962222222
1976,"Oregon","democrat","Jimmy Carter",1976-10-21,2,12,FALSE,43.1375232307692
1976,"Oregon","republican","Gerald R. Ford",1976-09-18,6,45,FALSE,33.8628294666667
1976,"Oregon","republican","Gerald R. Ford",1976-10-03,4,30,FALSE,38.7303371666667
1976,"Oregon","republican","Gerald R. Ford",1976-10-21,2,12,FALSE,40.4171312307692
1976,"South Carolina","democrat","Jimmy Carter",1976-09-16,7,47,FALSE,51.0007444333333
1976,"South Carolina","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,48.7072883333333
1976,"South Carolina","republican","Gerald R. Ford",1976-09-16,7,47,FALSE,33.9996927666667
1976,"South Carolina","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,38.0140891111111
1976,"South Dakota","democrat","Jimmy Carter",1976-10-03,4,30,FALSE,37.3401512083333
1976,"South Dakota","democrat","Jimmy Carter",1976-10-27,1,6,FALSE,43.1749257142857
1976,"South Dakota","republican","Gerald R. Ford",1976-10-03,4,30,FALSE,32.8576631666667
1976,"South Dakota","republican","Gerald R. Ford",1976-10-27,1,6,FALSE,41.880844
1976,"Utah","democrat","Jimmy Carter",1976-08-10,12,84,FALSE,45.3000449459459
1976,"Utah","democrat","Jimmy Carter",1976-09-16,7,47,FALSE,35.798722
1976,"Utah","democrat","Jimmy Carter",1976-10-16,2,17,FALSE,34.5095841111111
1976,"Utah","republican","Gerald R. Ford",1976-08-10,12,84,TRUE,46.3000005405405
1976,"Utah","republican","Gerald R. Ford",1976-09-16,7,47,FALSE,51.5905489666667
1976,"Utah","republican","Gerald R. Ford",1976-10-16,2,17,FALSE,55.3921062777778
1976,"Washington","democrat","Jimmy Carter",1976-09-16,7,47,FALSE,33.2314621666667
1976,"Washington","republican","Gerald R. Ford",1976-09-16,7,47,FALSE,31.6512753958333
1980,"Alabama","democrat","Jimmy Carter",1980-09-16,7,49,FALSE,46.8177548181818
1980,"Alabama","democrat","Jimmy Carter",1980-10-08,4,27,FALSE,40.3729574285714
1980,"Alabama","republican","Ronald Reagan",1980-09-16,7,49,FALSE,35.1308741363636
1980,"Alabama","republican","Ronald Reagan",1980-10-08,4,27,FALSE,44.8997321071429
1980,"Arizona","democrat","Jimmy Carter",1980-10-16,3,19,FALSE,21.82598225
1980,"Arizona","republican","Ronald Reagan",1980-10-16,3,19,FALSE,45.20387645
1980,"Arkansas","democrat","Jimmy Carter",1980-08-16,11,80,FALSE,36.812313
1980,"Arkansas","democrat","Jimmy Carter",1980-09-03,9,62,FALSE,41.1259518235294
1980,"Arkansas","democrat","Jimmy Carter",1980-09-20,6,45,FALSE,44.0503394130435
1980,"Arkansas","republican","Ronald Reagan",1980-08-16,11,80,FALSE,44.2014391666667
1980,"Arkansas","republican","Ronald Reagan",1980-09-03,9,62,FALSE,40.412888
1980,"Arkansas","republican","Ronald Reagan",1980-09-20,6,45,FALSE,40.350989326087
1980,"California","democrat","Jimmy Carter",1980-05-08,26,180,TRUE,27.686476
1980,"California","democrat","Jimmy Carter",1980-05-16,25,172,TRUE,27.7690472173913
1980,"California","democrat","Jimmy Carter",1980-07-24,15,103,TRUE,23.9524942857143
1980,"California","democrat","Jimmy Carter",1980-09-04,9,61,FALSE,26.6853101333333
1980,"California","democrat","Jimmy Carter",1980-10-04,4,31,FALSE,27.1627377142857
1980,"California","democrat","Jimmy Carter",1980-10-18,2,17,FALSE,28.0539265
1980,"California","republican","Ronald Reagan",1980-05-08,26,180,TRUE,42.484936
1980,"California","republican","Ronald Reagan",1980-05-16,25,172,TRUE,40.0570483043478
1980,"California","republican","Ronald Reagan",1980-07-24,15,103,FALSE,46.7182162142857
1980,"California","republican","Ronald Reagan",1980-09-04,9,61,FALSE,43.2936098333333
1980,"California","republican","Ronald Reagan",1980-10-04,4,31,FALSE,42.0501709285714
1980,"California","republican","Ronald Reagan",1980-10-18,2,17,FALSE,42.0993939444444
1980,"Colorado","democrat","Jimmy Carter",1980-08-27,10,69,FALSE,27.65274675
1980,"Colorado","democrat","Jimmy Carter",1980-09-16,7,49,FALSE,25.9808399666667
1980,"Colorado","democrat","Jimmy Carter",1980-10-16,3,19,FALSE,24.9567558
1980,"Colorado","republican","Ronald Reagan",1980-08-27,10,69,FALSE,47.2950573
1980,"Colorado","republican","Ronald Reagan",1980-09-16,7,49,FALSE,48.9259686333333
1980,"Colorado","republican","Ronald Reagan",1980-10-16,3,19,FALSE,49.9820582
1980,"Connecticut","democrat","Jimmy Carter",1980-04-30,27,188,TRUE,31.675586
1980,"Connecticut","democrat","Jimmy Carter",1980-06-18,20,139,TRUE,27.7049090384615
1980,"Connecticut","democrat","Jimmy Carter",1980-07-14,16,113,TRUE,26.0199025681818
1980,"Connecticut","democrat","Jimmy Carter",1980-08-27,10,69,FALSE,29.69113935
1980,"Connecticut","democrat","Jimmy Carter",1980-09-16,7,49,FALSE,29.3845872592593
1980,"Connecticut","democrat","Jimmy Carter",1980-10-13,3,22,FALSE,30.0882526875
1980,"Connecticut","democrat","Jimmy Carter",1980-10-29,1,6,FALSE,32.8647502857143
1980,"Connecticut","republican","Ronald Reagan",1980-04-30,27,188,TRUE,30.1209534489796
1980,"Connecticut","republican","Ronald Reagan",1980-06-18,20,139,TRUE,29.5774034615385
1980,"Connecticut","republican","Ronald Reagan",1980-07-14,16,113,TRUE,30.0072509772727
1980,"Connecticut","republican","Ronald Reagan",1980-08-27,10,69,FALSE,33.4141915
1980,"Connecticut","republican","Ronald Reagan",1980-09-16,7,49,FALSE,32.6659765555556
1980,"Connecticut","republican","Ronald Reagan",1980-10-13,3,22,FALSE,33.7139268125
1980,"Connecticut","republican","Ronald Reagan",1980-10-29,1,6,FALSE,36.3898185714286
1980,"Delaware","democrat","Jimmy Carter",1980-09-28,5,37,FALSE,36.8043482631579
1980,"Delaware","republican","Ronald Reagan",1980-09-28,5,37,FALSE,43.1947352894737
1980,"Florida","democrat","Jimmy Carter",1980-03-04,35,245,TRUE,56.8292665307263
1980,"Florida","democrat","Jimmy Carter",1980-08-30,9,66,FALSE,46.342436
1980,"Florida","democrat","Jimmy Carter",1980-09-03,9,62,FALSE,41.2226528518519
1980,"Florida","democrat","Jimmy Carter",1980-09-30,5,35,FALSE,41.4526485
1980,"Florida","democrat","Jimmy Carter",1980-10-08,4,27,FALSE,39.068376
1980,"Florida","democrat","Jimmy Carter",1980-10-16,3,19,FALSE,36.4989846428571
1980,"Florida","democrat","Jimmy Carter",1980-10-30,1,5,FALSE,36.85088
1980,"Florida","republican","Ronald Reagan",1980-03-04,35,245,TRUE,38.140803150838
1980,"Florida","republican","Ronald Reagan",1980-08-30,9,66,FALSE,41.4165
1980,"Florida","republican","Ronald Reagan",1980-09-03,9,62,FALSE,40.8836305555556
1980,"Florida","republican","Ronald Reagan",1980-09-30,5,35,FALSE,42.532636875
1980,"Florida","republican","Ronald Reagan",1980-10-08,4,27,FALSE,42.611433625
1980,"Florida","republican","Ronald Reagan",1980-10-16,3,19,FALSE,42.4465185
1980,"Florida","republican","Ronald Reagan",1980-10-30,1,5,FALSE,44.5229906666667
1980,"Georgia","democrat","Jimmy Carter",1980-10-08,4,27,FALSE,48.6224719285714
1980,"Georgia","republican","Ronald Reagan",1980-10-08,4,27,FALSE,36.3491647142857
1980,"Hawaii","democrat","Jimmy Carter",1980-06-16,20,141,TRUE,31.8469233291139
1980,"Hawaii","democrat","Jimmy Carter",1980-09-03,9,62,FALSE,37.2036794333333
1980,"Hawaii","democrat","Jimmy Carter",1980-10-03,5,32,FALSE,38.2693824166667
1980,"Hawaii","democrat","Jimmy Carter",1980-10-27,1,8,FALSE,36.3248662222222
1980,"Hawaii","republican","Ronald Reagan",1980-06-16,20,141,TRUE,25.9917460886076
1980,"Hawaii","republican","Ronald Reagan",1980-09-03,9,62,FALSE,27.6534436666667
1980,"Hawaii","republican","Ronald Reagan",1980-10-03,5,32,FALSE,29.017200375
1980,"Hawaii","republican","Ronald Reagan",1980-10-27,1,8,FALSE,31.049998
1980,"Idaho","democrat","Jimmy Carter",1980-10-29,1,6,FALSE,23.988002
1980,"Idaho","republican","Ronald Reagan",1980-10-29,1,6,FALSE,50.9878621428571
1980,"Illinois","democrat","Jimmy Carter",1980-03-16,33,233,TRUE,59.658734532967
1980,"Illinois","democrat","Jimmy Carter",1980-09-14,7,51,FALSE,42.5072475769231
1980,"Illinois","democrat","Jimmy Carter",1980-10-10,4,25,FALSE,38.1222621666667
1980,"Illinois","democrat","Jimmy Carter",1980-10-16,3,19,FALSE,38.642078
1980,"Illinois","democrat","Jimmy Carter",1980-10-20,2,15,FALSE,36.958926
1980,"Illinois","democrat","Jimmy Carter",1980-10-24,2,11,FALSE,38.9063954
1980,"Illinois","democrat","Jimmy Carter",1980-10-29,1,6,FALSE,40.619104
1980,"Illinois","democrat","Jimmy Carter",1980-10-30,1,5,FALSE,40.5440326666667
1980,"Illinois","republican","Ronald Reagan",1980-03-16,33,233,TRUE,36.2506552912088
1980,"Illinois","republican","Ronald Reagan",1980-09-14,7,51,FALSE,29.2783164615385
1980,"Illinois","republican","Ronald Reagan",1980-10-10,4,25,FALSE,31.903812
1980,"Illinois","republican","Ronald Reagan",1980-10-16,3,19,FALSE,34.09416125
1980,"Illinois","republican","Ronald Reagan",1980-10-20,2,15,FALSE,34.82887025
1980,"Illinois","republican","Ronald Reagan",1980-10-24,2,11,FALSE,36.5906448
1980,"Illinois","republican","Ronald Reagan",1980-10-29,1,6,FALSE,38.170777
1980,"Illinois","republican","Ronald Reagan",1980-10-30,1,5,FALSE,42.1877193333333
1980,"Iowa","democrat","Jimmy Carter",1979-12-03,48,337,TRUE,45.823447
1980,"Iowa","democrat","Jimmy Carter",1980-04-16,29,202,TRUE,38.3143717573529
1980,"Iowa","democrat","Jimmy Carter",1980-08-30,9,66,FALSE,34.2175337142857
1980,"Iowa","democrat","Jimmy Carter",1980-10-04,4,31,FALSE,34.005811625
1980,"Iowa","democrat","Jimmy Carter",1980-10-12,3,23,FALSE,33.5030237083333
1980,"Iowa","republican","Ronald Reagan",1979-12-03,48,337,TRUE,45.187878
1980,"Iowa","republican","Ronald Reagan",1980-04-16,29,202,TRUE,40.3109144779412
