president,subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,approve,disapprove,adjusted_approve,adjusted_disapprove,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
Donald Trump,All polls,10/30/2020,2/4/2017,2/8/2017,Ipsos,B-,1718,a,.09754093,0,47.5,47.6,48.67616,46.267619,"",T,http://polling.reuters.com/#poll/CP3_2/,49411,77584,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/5/2017,2/7/2017,Gallup,B,1500,a,.16297863,0,43,52,43.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49291,77306,2/8/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/5/2017,2/7/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12630335,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49277,77291,2/8/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/6/2017,2/8/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12583184,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49290,77305,2/9/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/5/2017,2/9/2017,Ipsos,B-,1756,a,.1001297,0,47.8,46.4,48.97616,45.067619,"",T,http://polling.reuters.com/#poll/CP3_2/,49410,77583,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/6/2017,2/8/2017,YouGov,B,1000,a,.17342297,0,39,50,39.925418,51.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67124,125433,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/6/2017,2/8/2017,Gallup,B,1500,a,.16206931,0,43,52,43.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49286,77301,2/9/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/7/2017,2/8/2017,Public Policy Polling,B,712,rv,.79043551,0,43,53,42.566585,53.224714,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,77302,2/9/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/7/2017,2/9/2017,YouGov,B,1000,a,.16852928,0,41,50,41.925418,51.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67125,125434,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/7/2017,2/9/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12531835,0,52,48,46.590449,49.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49278,77293,2/10/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/6/2017,2/10/2017,Ipsos,B-,1765,a,.10112674,0,46.7,47.6,47.87616,46.267619,"",T,http://polling.reuters.com/#poll/CP3_2/,49409,77582,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/7/2017,2/9/2017,Gallup,B,1500,a,.16131057,0,42,52,42.730184,50.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49289,77304,2/10/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/6/2017,2/12/2017,SurveyMonkey,D-,9349,a,.19977259,0,46,53,43.537165,52.278178,"","",https://blog.electiontracking.surveymonkey.com/2017/02/13/trump-approval-february-6-12/,49281,77296,2/13/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/7/2017,2/11/2017,Ipsos,B-,1770,a,.10182906,0,46.7,47.5,47.87616,46.167619,"",T,http://polling.reuters.com/#poll/CP3_2/,49408,77581,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/8/2017,2/10/2017,Gallup,B,1500,a,.16069545,0,41,53,41.730184,51.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49283,77298,2/11/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/9/2017,2/10/2017,Morning Consult,B/C,1791,rv,.50630957,0,49,45,48.447003,46.219806,"","",https://morningconsult.com/2017/02/15/poll-warren-wouldnt-beat-trump-2020-another-democrat/,49296,77311,2/11/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/7/2017,2/12/2017,Pew Research Center,B/C,1503,a,1.1843101,0,39,56,40.885058,52.70893,"","",http://www.people-press.org/2017/02/16/in-first-month-views-of-trump-are-already-strongly-felt-deeply-polarized/?utm_source=adaptivemailer&utm_medium=email&utm_campaign=17-02-15%20feb%20political&org=982&lvl=100&ite=819&lea=171698&ctr=0&par=1&trk=,49308,77323,2/13/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/8/2017,2/12/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.0745276,0,52,48,46.590449,49.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49284,77299,2/13/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/9/2017,2/11/2017,Gallup,B,1500,a,.16021868,0,40,55,40.730184,53.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49285,77300,2/12/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/8/2017,2/12/2017,Ipsos,B-,1774,a,.10236873,0,46.3,48.4,47.47616,47.067619,"",T,http://polling.reuters.com/#poll/CP3_2/,49407,77580,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/9/2017,2/13/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.22143555,0,52,48,46.590449,49.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49288,77303,2/14/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/10/2017,2/12/2017,YouGov,B,1000,a,.15405449,0,40,50,40.925418,51.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67126,125435,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/10/2017,2/12/2017,Gallup,B,1500,a,.15987653,0,40,54,40.730184,52.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49279,77294,2/13/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/9/2017,2/13/2017,Ipsos,B-,1813,a,.104795,0,46.3,48.5,47.47616,47.167619,"",T,http://polling.reuters.com/#poll/CP3_2/,49406,77579,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/11/2017,2/13/2017,YouGov,B,1000,a,.14965587,0,42,47,42.925418,48.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67127,125436,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/11/2017,2/13/2017,Fox News,A-,1013,rv,1.7234194,0,48,47,45.9776,47.51412,"","",http://www.foxnews.com/politics/interactive/2017/02/14/fox-news-poll-february-14-2017/,49293,77308,2/14/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/11/2017,2/13/2017,Harris Poll,C,2148,rv,1.2351228,0,48,52,43.83127,51.319017,"","",http://harvardharrispoll.com/wp-content/uploads/2017/02/Harvard-Harris-Topline-2.17.2017-Final.pdf,49369,77450,2/14/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/10/2017,2/14/2017,Ipsos,B-,1777,a,.10271593,0,45.3,50.6,46.47616,49.267619,"",T,http://polling.reuters.com/#poll/CP3_2/,49405,77578,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/11/2017,2/13/2017,Gallup,B,1500,a,.15957436,0,40,54,40.730184,52.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49282,77297,2/14/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/11/2017,2/15/2017,Ipsos,B-,1766,a,.10166143,0,45.8,50.4,46.97616,49.067619,"",T,http://polling.reuters.com/#poll/CP3_2/,49404,77577,3/1/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/12/2017,2/14/2017,Gallup,B,1500,a,.15931022,0,40,53,40.730184,51.626503,"",T,http://www.gallup.com/poll/201617/gallup-daily-trump-job-approval.aspx,49298,77314,2/15/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/12/2017,2/14/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12236693,0,53,47,47.590449,48.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49294,77309,2/15/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/12/2017,2/14/2017,YouGov,B,1500,a,.21915845,0,43,47,43.925418,48.83552,"","",http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/5amsxmrtih/econToplines.pdf,49295,77310,2/15/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/12/2017,2/14/2017,YouGov,B,1000,a,.14610563,0,38,53,38.925418,54.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67513,126305,7/17/2020,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/13/2017,2/15/2017,Rasmussen Reports/Pulse Opinion Research,C+,1500,lv,.12259498,0,55,45,49.590449,46.525743,"",T,http://www.rasmussenreports.com/public_content/politics/trump_administration/trump_approval_index_history,49302,77318,2/16/2017,19:37:32 30 Oct 2020
Donald Trump,All polls,10/30/2020,2/13/2017,2/15/2017,YouGov,B,1000,a,.14508605,0,41,50,41.925418,51.83552,"","",https://today.yougov.com/_pubapis/v5/us/trackers/donald-trump-approval-daily/download/,67128,125438,7/17/2020,19:37:32 30 Oct 2020
